18,Region 2,BTS Lienzo Charro - RB Nuevo Hermosillo,HERMOSILLO,
31,Region 4,BTS Lienzo Charro GSM - RB Veintiocho,ZONA GUADALUPE,
84,Region 1,BTS Lindavista - RB Pieras Negras,ENSENADA,
98,Region 5,BTS Loma Bonita - RB Minerva,VALLARTA - NAYARIT,
26,Region 8,BTS Loma Larga - RB Chiapa de Corzo,TUXTLA,
19,Region 9,BTS Lomas de Cortes - RB Tezontepec,CIVAC,
125,Region 9,BTS Lomas de La Hacienda - RB San Jose Del Jaral,CUAUTITLAN,
136,Region 9,BTS Lomas de las Palmas - RB Terrazas del Bosque,TK II,
2,Region 7,BTS Lomas de Sierra Juarez - BTS Jardin,OAXACA,
128,Region 9,BTS Lomas Virreyes - BTS Jardin Rep. Del Peru,TECA I,
60,Region 7,BTS Lomasde Angelopolis - RB Autopista Atlixco,PUEBLA - TLAXCALA,
88,Region 4,BTS Lopez Portillo  GSM - BTS Purificacion GSM,ZONA REYNOSA,
14,Region 1,BTS Los Charros - RB Ermita,LOMAS,
15,Region 2,BTS Los Chinos - RBS Palo Verde,HERMOSILLO,
3,Region 9,BTS Los Encinos - RB Bosques del Pedregal,CARRASCO,
33,Region 4,BTS Los Laureles - RB La Puerta,ZONA SAN PEDRO,
14,Region 5,BTS Los Mezquites - RB Colima I,COLIMA,
2,Region 3,BTS Los Pinos - RB Libramiento Aeropuerto,JUAREZ,
70,Region 4,BTS Los Reyes - RB Asturias,ZONA LAREDO,
63,Region 7,BTS los Rios -  RB San Manuel,PUEBLA - TLAXCALA,
47,Region 7,BTS Luz Obrera - RB Jeronimo Caleras,PUEBLA - TLAXCALA,
33,Region 2,BTS Macario - RB Moctezuma,HERMOSILLO,
83,Region 6,BTS MADERO - RB LAS PALMAS,SAN LUIS POTOSI,
86,Region 1,BTS Maestros - BTS Mar de Cortez,ENSENADA,
22,Region 5,BTS Manzanillo Blvd. - RB Manzanillo I,COLIMA,
75,Region 4,BTS Maquiladoras - RB Acuña,ZONA LAREDO,
87,Region 1,BTS Mar de Cortez - RB Bahia,ENSENADA,
73,Region 1,BTS Mariano Salas-BTS Villas del Rey,MEXICALI,
120,Region 9,BTS Marina Escobedo - RB Normal de Maestros,POPOTLA,
101,Region 1,BTS Marquez de Leon - RB Forjadores,LA PAZ,
92,Region 6,BTS MARX - RB PAISANO,SAN LUIS POTOSI,
66,Region 9,BTS Maza - RB Valle Gomez,MALINCHE,
165,Region 9,BTS Melero y Piña - RB Alducin,TOLLOCAN,
38,Region 3,BTS Menonita - RB Trabajo,CHIHUAHUA,
65,Region 5,BTS Mercedes Celis- BTS Arquímides,TLAQUEPAQUE - BANDERAS,
52,Region 3,BTS Metalica - RB Cuatro Caminos,TORREON,
85,Region 6,BTS MEXICANA - RB ZONA INDUSTRIAL,SAN LUIS POTOSI,
25,Region 4,BTS Mexico - RB Eloy Cavazos,ZONA GUADALUPE,
54,Region 3,BTS Mezclilla - RB Residencial,TORREON,
63,Region 3,BTS Mezquital - BTS Jacarandas.,DURANGO,
64,Region 9,BTS Michoacana - RB Valle Gomez,MALINCHE,
6,Region 7,BTS Miguel Negrete - BTS Las Hortalizas,VERACRUZ,
63,Region 6,BTS MILENIO - BTS BOLAÑOS,QUERETARO,
26,Region 1,BTS Milenio - BTS Chopo,LOMAS,
25,Region 3,BTS Milenio BTS De Las Industrias,CHIHUAHUA,
57,Region 5,BTS Milpillas - RB Tepatitlan,TLAQUEPAQUE - BANDERAS,
152,Region 9,BTS Mina Mexico - BTS San Pablo Autopan,TOLLOCAN,
40,Region 2,BTS Miramar - RB Cerro El Vigia,OBREGON,
72,Region 9,BTS Misterios - RB Calz. De Guadalupe,MALINCHE,
77,Region 1,BTS Moctezuma - BTS Reforma,ENSENADA,
74,Region 9,BTS Moctezuma 2 Secc. - Moctezuma,MALINCHE,
65,Region 6,BTS MONROY - BTS VISTRA ALEGRE,QUERETARO,
39,Region 6,BTS MONTECRISTO - RB LA FERIA,LEON,
77,Region 9,BTS Monumento a la Raza - RB Santa Maria,MALINCHE,
53,Region 2,BTS Mora - RB Malecon,CULIACAN,
46,Region 9,BTS Moras - BTS Del Valle Sur,URRAZA,
68,Region 9,BTS Morelos - BTS Maza,MALINCHE,
22,Region 3,BTS Motorola - RB Impulso,CHIHUAHUA,
98,Region 1,BTS Museo - BTS Mulege,LA PAZ,
38,Region 9,BTS Museo Frida Kahlo - BTS Pateon Xoco,PORTALES,
28,Region 2,BTS Naranjeros - BTS Estadio,HERMOSILLO,
44,Region 7,BTS Nativitas - RB Xalmimilulco,PUEBLA - TLAXCALA,
49,Region 7,BTS Niño Artillero - RB Central de Abastos,PUEBLA - TLAXCALA,
35,Region 9,BTS Niño Perdido - Tetepilco,PORTALES,
23,Region 8,BTS Niños Heroes - RB Independencia,VILLAHERMOSA,
17,Region 1,BTS Niños Heroes - RB La Vuelta,LOMAS,
27,Region 2,BTS Niza - RB Jardines,HERMOSILLO,
69,Region 4,BTS Nogal - RB Villa Unión,ZONA LAREDO,
21,Region 3,BTS Nogales - MTX Chihuahua,CHIHUAHUA,
39,Region 5,BTS Nueva Chapultepec - RB Union,MORELIA,
14,Region 3,BTS Nueva Esperanza - RB Libramiento Aeropuerto,JUAREZ,
4,Region 1,BTS Obrera - RB Valle del Sur,LOMAS,
